CountryCode,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,2013[YR2013],2014[YR2014],"2015[YR2015]
"
OMN,15.51028912,17.19160289,14.4797972,13.92679701,19.122607,20.20389451,,,,
,,,,,,,,,,
OSS,1.439769427,1.426323509,1.539987643,1.424232904,1.515354968,1.548096716,,,,
,,,,,,,,,,
PSS,1.148315385,1.091472291,1.013070377,0.931478352,1.113847405,1.097999746,,,,
,,,,,,,,,,
PAK,0.933241986,0.994536473,0.975314124,0.962548786,0.957357369,0.941171125,,,,
,,,,,,,,,,
PLW,10.07820308,10.38965106,10.33366293,10.27423319,10.56927211,10.85543046,,,,
,,,,,,,,,,
PAN,2.181575209,2.093510117,2.107748953,2.415888235,2.449051597,2.625276244,,,,
,,,,,,,,,,
PNG,0.690926208,0.958160743,0.73337006,0.760922609,0.681184727,0.746895234,,,,
,,,,,,,,,,
PRY,0.67757378,0.693306247,0.719800679,0.737248172,0.817267073,0.841915242,,,,
,,,,,,,,,,
PER,1.254522601,1.527183943,1.441345465,1.771065546,1.969722449,1.783233144,,,,
,,,,,,,,,,
PHL,0.772811732,0.783104987,0.841040935,0.816054812,0.878135471,0.867845343,,,,
,,,,,,,,,,
POL,8.364404885,8.250051626,8.273068216,7.81735027,8.334872118,8.335786706,,,,
,,,,,,,,,,
PRT,5.617444894,5.773031758,5.24374293,5.158593379,4.690094769,4.709849624,,,,
,,,,,,,,,,
PRI,,,,,,,,,,
,,,,,,,,,,
QAT,57.39889605,55.33679996,48.60161977,44.83640145,42.63907601,44.01892637,,,,
,,,,,,,,,,
ROM,4.840827017,4.866509869,4.658143211,3.997649195,3.918410158,4.210560124,,,,
,,,,,,,,,,
RWA,0.057203516,0.058789064,0.055661387,0.057430655,0.05735438,0.062874197,,,,
,,,,,,,,,,
WSM,0.972077406,1.026223949,1.039489751,1.072106118,1.103870902,1.252110076,,,,
,,,,,,,,,,
SMR,,,,,,,,,,
,,,,,,,,,,
STP,0.538631022,0.526920482,0.515547541,0.548308572,0.579406601,0.587909256,,,,
,,,,,,,,,,
SEN,0.413622745,0.448464475,0.444968124,0.464873613,0.638487724,0.58833415,,,,
,,,,,,,,,,
SRB,7.25427423,7.078578039,7.058387624,6.300834457,6.292016689,6.799114997,,,,
,,,,,,,,,,
SYC,8.669030733,7.546775958,7.970272322,8.485119934,7.679581152,6.835706362,,,,
,,,,,,,,,,
SLE,0.139876038,0.119033972,0.120200375,0.115584129,0.12570608,0.152044168,,,,
,,,,,,,,,,
SGP,6.997576453,3.965404263,4.927573873,4.778216577,2.655246912,4.320151436,,,,
,,,,,,,,,,
SXM,,,,,,,,,,
,,,,,,,,,,
SVK,7.277962961,6.843273815,7.010558568,6.319073237,6.721959562,6.367545917,,,,
,,,,,,,,,,
SVN,8.094608116,8.049468764,8.532016271,7.547335376,7.530604813,7.504259702,,,,
,,,,,,,,,,
SST,3.562786078,3.654504974,3.568231476,3.415442134,3.533690599,3.459790992,,,,
,,,,,,,,,,
SLB,0.373782025,0.387510034,0.378784688,0.377551397,0.376333439,0.368304169,,,,
,,,,,,,,,,
SOM,0.068384733,0.068326521,0.065850768,0.063880736,0.06391226,0.05870688,,,,
,,,,,,,,,,
ZAF,8.80247507,9.063325529,9.506481163,9.545494788,8.957153524,9.257216472,,,,
,,,,,,,,,,
SAS,1.117805107,1.17741941,1.27804009,1.37236767,1.348892699,1.408997076,,,,
,,,,,,,,,,
SSD,,,,,,,,,,
,,,,,,,,,,
LKA,0.603103132,0.616503967,0.602955794,0.644280244,0.64824563,0.72992084,,,,
,,,,,,,,,,
KNA,4.710907704,4.941167146,4.880433719,5.034263395,4.973200642,5.050964187,,,,
,,,,,,,,,,
LCA,2.187216682,2.262968274,2.292817072,2.197738533,2.273826502,2.270423588,,,,
,,,,,,,,,,
MAF,,,,,,,,,,
,,,,,,,,,,
VCT,2.020237264,2.084879274,2.11625521,2.114511922,2.146876944,2.179923359,,,,
,,,,,,,,,,
SSF,0.843670429,0.852714768,0.866768843,0.836682768,0.816727796,0.830941119,,,,
,,,,,,,,,,
SSA,0.837448759,0.846749135,0.86129287,0.83115383,0.811343934,0.82359608,,,,
,,,,,,,,,,
SDN,0.278837922,0.308883977,0.318940846,0.343430682,0.341750839,0.349548724,,,,
,,,,,,,,,,
SUR,4.939088986,4.897112104,4.84197988,4.829500002,4.621427372,3.649913361,,,,
,,,,,,,,,,
SWZ,0.908384338,0.937064096,0.950321127,0.890557455,0.869767204,0.864988313,,,,
,,,,,,,,,,
SWE,5.459003216,5.253521937,5.326109585,4.704368708,5.606000495,5.518421481,,,,
,,,,,,,,,,
SYR,2.861435589,3.421673064,3.360814123,3.012318451,2.971741072,2.736990943,,,,
,,,,,,,,,,
TJK,0.382552666,0.463345439,0.409462437,0.382774553,0.373872943,0.35894763,,,,
,,,,,,,,,,
TZA,0.149737237,0.144041145,0.147981815,0.139972868,0.150058649,0.1549349,,,,
,,,,,,,,,,
THA,3.992198458,3.994687144,3.984059667,4.198511915,4.470426149,4.534491734,,,,
,,,,,,,,,,
TMP,0.1803952,0.180962382,0.185016931,0.174891045,0.171932157,0.16364808,,,,
,,,,,,,,,,
TGO,0.213027516,0.239676702,0.285947797,0.270613774,0.269107041,0.319443622,,,,
,,,,,,,,,,
TON,1.264395559,1.112636906,1.17696662,1.276514272,1.128882988,0.983561959,,,,
,,,,,,,,,,
TTO,35.63049125,36.8167629,35.45529782,36.56944789,38.33784104,37.14005424,,,,
,,,,,,,,,,
TUN,2.270173481,2.357974494,2.403507634,2.374157343,2.535619365,2.402455639,,,,
,,,,,,,,,,
TKM,9.722724787,11.53562168,11.55757176,10.11066086,11.35811103,12.18366658,,,,
,,,,,,,,,,
TCA,5.173757326,5.762099309,6.094874665,5.940523027,6.152486045,6.010149084,,,,
,,,,,,,,,,
TUV,,,,,,,,,,
,,,,,,,,,,
UGA,0.091545632,0.104292991,0.101918826,0.105319919,0.108297319,0.110886576,,,,
,,,,,,,,,,
UKR,6.977980583,6.910708277,6.724046202,5.64701422,6.638152001,6.262351962,,,,
,,,,,,,,,,
ARE,23.95451916,23.19506697,23.03360047,21.10229562,20.12095728,20.43383762,,,,
,,,,,,,,,,
UMC,4.503714859,4.689535501,4.838153026,5.074765065,5.359186932,5.710563536,,,,
,,,,,,,,,,
URY,1.995853849,1.796305712,2.471053756,2.401221496,1.912604677,2.296200685,,,,
,,,,,,,,,,
UZB,4.436684794,4.391446777,4.434466025,3.912053019,3.693267688,3.914921266,,,,
,,,,,,,,,,
