CountryCode,CO2YR2006,CO2YR2007,CO2YR2008,CO2YR2009,CO2YR2010,CO2YR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014],FAYR2006,FAYR2007,FAYR2008,FAYR2009,FAYR2010,FAYR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014]
,,,,,,,,,,,,,,,,,,
NPL,0.103210301,0.105098567,0.11450154,0.136102525,0.161137874,0.159474455,,,,36360,36360,36360,36360,36360,36360,36360,36360,
,,,,,,,,,,,,,,,,,,
NCL,11.81224237,12.32556027,13.53130952,11.57082986,15.680092,15.17329528,,,,8390,8390,8390,8390,8390,8390,8390,8390,
,,,,,,,,,,,,,,,,,,
NZL,8.018221574,7.96637909,8.044536128,7.511955097,7.297420185,7.124050867,,,,101766,101702,101638,101574,101510,101512,101514,101516,
,,,,,,,,,,,,,,,,,,
NIC,0.819491407,0.834055188,0.790487627,0.803730282,0.805909906,0.843541955,,,,33940,33240,32540,31840,31140,31140,31140,31140,
,,,,,,,,,,,,,,,,,,
NER,0.05764269,0.056541084,0.060771767,0.073470122,0.083054495,0.083958178,,,,12536,12412,12288,12164,12040,11916,11792,11668,
,,,,,,,,,,,,,,,,,,
NGA,0.687380144,0.647289878,0.613327639,0.462535787,0.534553664,0.53749756,,,,106794,102698,98602,94506,90410,86314,82218,78122,
,,,,,,,,,,,,,,,,,,
NAC,18.89529785,19.02018554,18.27761502,16.98268669,17.19612789,16.7319858,,,,6530718,6538096,6545474,6552852,6560230,6562514,6564798,6567082,
,,,,,,,,,,,,,,,,,,
MNP,,,,,,,,,,309.8,308.1,306.5,304.8,300,301.5,299.9,298.3,
,,,,,,,,,,,,,,,,,,
NOR,9.495835691,9.57484966,10.55446109,10.81860557,11.61619323,9.192879069,,,,120940,120960,120980,121000,121020,121040,121060,121080,
,,,,,,,,,,,,,,,,,,
OMN,15.51028912,17.19160289,14.4797972,13.92679701,19.122607,20.20389451,,,,20,20,20,20,20,20,20,20,
,,,,,,,,,,,,,,,,,,
PAK,0.933241986,0.994536473,0.975314124,0.962548786,0.957357369,0.941171125,,,,18590,18160,17730,17300,16870,16440,16010,15580,
,,,,,,,,,,,,,,,,,,
PLW,10.07820308,10.38965106,10.33366293,10.27423319,10.56927211,10.85543046,,,,403,403,403,403,400,403,403,403,
,,,,,,,,,,,,,,,,,,
PAN,2.181575209,2.093510117,2.107748953,2.415888235,2.449051597,2.625276244,,,,47654,47488,47322,47156,46990,46826,46662,46498,
,,,,,,,,,,,,,,,,,,
PNG,0.690926208,0.958160743,0.73337006,0.760922609,0.681184727,0.746895234,,,,335834,335808,335782,335756,335730,335702,335674,335646,
,,,,,,,,,,,,,,,,,,
PRY,0.67757378,0.693306247,0.719800679,0.737248172,0.817267073,0.841915242,,,,181700,178650,175600,172550,169500,166246,162992,159738,
,,,,,,,,,,,,,,,,,,
